id;nome;vmax;vmin;pcv0;pcv1;pcv2;pcv3;pcv4;prodesp;teif;iph;pinst;cfuga;cphid
24;EMBORCACAO  ;17725;4669;0.56809E3;0.14506E-1;-0.12028E-5;0.58303E-10;-0.11245E-14;0.008731;2.92;12.12;1192;521.9;0.98
25;NOVA PONTE  ;12792;2412;0.75215E3;0.12284E-1;-0.12569E-5;0.78525E-10;-0.19786E-14;0.009223;2.53;8.09;510;696.0;0.93
26;MIRANDA     ;1120;974;0.6847E3;-0.40190E-2;-0.79360E-6;0.27851E-7;-0.14201E-10;0.008829;2.53;8.09;408;625.2;2.4
30;CORUMBA I   ;1500;470;0.54589E3;0.64709E-1;-0.3237E-4;0.73934E-8;0;0.008828;2.53;8.09;375;518.9;1.24
31;ITUMBIARA   ;17027;4573;0.47116E3;0.72805E-2;-0.56099E-6;0.25978E-10;-0.48454E-15;0.008829;2.92;12.12;2280;435.6;0.75
32;CACH.DOURADA;460;460;0.43412E3;0;0;0;0;0.008730;2.31;7.37;658;401.1;0.59
33;SAO SIMAO   ;12540;7000;0.35833E3;0.86173E2;-0.88427E-6;0.52932E-10;-0.12420E-14;0.009025;2.92;12.12;1710;328.1;0.81
